 日期 , 时间 , 纬度方向 , 纬度／度 , 经度方向, 经度／度 , 航向／度 ，海拔／米 ,速度/km/h , 卫星颗数／颗
2017年05月10日,9时34分54秒，   4047.642, N,  11141.722, E, 334.8, 1058, 16.67, 09
2017年05月10日,9时34分55秒，   4047.645, N,  11141.721, E, 335.7, 1058, 14.82, 09
2017年05月10日,9时34分56秒，   4047.647, N,  11141.720, E, 337.2, 1058, 16.67, 09
2017年05月10日,9时34分57秒，   4047.649, N,  11141.719, E, 338.4, 1058, 14.82, 09
2017年05月10日,9时34分58秒，   4047.651, N,  11141.718, E, 340.7, 1058, 14.82, 09
2017年05月10日,9时34分59秒，   4047.654, N,  11141.717, E, 343.2, 1058, 18.52, 10
2017年05月10日,9时35分0秒，   4047.657, N,  11141.716, E, 345.1, 1058, 20.37, 10
2017年05月10日,9时35分1秒，   4047.660, N,  11141.715, E, 345.6, 1057, 22.22, 10
2017年05月10日,9时35分2秒，   4047.664, N,  11141.714, E, 346.5, 1057, 22.22, 10
2017年05月10日,9时35分3秒，   4047.667, N,  11141.713, E, 345.5, 1057, 22.22, 10
2017年05月10日,9时35分4秒，   4047.670, N,  11141.711, E, 343.8, 1058, 22.22, 09
2017年05月10日,9时35分5秒，   4047.674, N,  11141.709, E, 342.7, 1057, 22.22, 10
2017年05月10日,9时35分6秒，   4047.677, N,  11141.708, E, 342.1, 1057, 22.22, 09
2017年05月10日,9时35分7秒，   4047.680, N,  11141.707, E, 341.1, 1057, 20.37, 09
2017年05月10日,9时35分8秒，   4047.683, N,  11141.705, E, 340.8, 1057, 20.37, 09
2017年05月10日,9时35分9秒，   4047.686, N,  11141.704, E, 341.0, 1057, 16.67, 09
2017年05月10日,9时35分10秒，   4047.688, N,  11141.704, E, 340.9, 1058, 14.82, 09
2017年05月10日,9时35分11秒，   4047.690, N,  11141.703, E, 341.5, 1058, 16.67, 09
2017年05月10日,9时35分12秒，   4047.693, N,  11141.702, E, 342.1, 1057, 16.67, 09
2017年05月10日,9时35分13秒，   4047.695, N,  11141.701, E, 343.1, 1057, 14.82, 09
2017年05月10日,9时35分14秒，   4047.697, N,  11141.701, E, 342.0, 1057, 11.11, 09
2017年05月10日,9时35分15秒，   4047.699, N,  11141.700, E, 341.7, 1057, 9.26, 09
2017年05月10日,9时35分16秒，   4047.700, N,  11141.700, E, 343.9, 1056, 7.41, 09
2017年05月10日,9时35分17秒，   4047.701, N,  11141.699, E, 343.9, 1056, 3.70, 09
2017年05月10日,9时35分18秒，   4047.702, N,  11141.700, E, 343.9, 1056, 3.70, 09
2017年05月10日,9时35分19秒，   4047.702, N,  11141.700, E, 343.9, 1057, 3.70, 09
2017年05月10日,9时35分20秒，   4047.703, N,  11141.701, E, 333.9, 1057, 5.56, 09
2017年05月10日,9时35分21秒，   4047.704, N,  11141.700, E, 334.5, 1057, 9.26, 08
2017年05月10日,9时35分22秒，   4047.706, N,  11141.700, E, 335.5, 1057, 16.67, 08
2017年05月10日,9时35分23秒，   4047.710, N,  11141.699, E, 336.1, 1057, 24.08, 08
2017年05月10日,9时35分24秒，   4047.713, N,  11141.698, E, 336.7, 1057, 24.08, 08
2017年05月10日,9时35分25秒，   4047.716, N,  11141.697, E, 339.7, 1057, 16.67, 08
2017年05月10日,9时35分26秒，   4047.718, N,  11141.696, E, 347.2, 1057, 7.41, 08
2017年05月10日,9时35分27秒，   4047.719, N,  11141.696, E, 347.2, 1057, 0.00, 08
2017年05月10日,9时35分28秒，   4047.719, N,  11141.696, E, 347.2, 1057, 0.00, 08
2017年05月10日,9时35分29秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 08
2017年05月10日,9时35分30秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 07
